"year","zone","timePeriod","gender","count"
"2011","S01002249","Between Mid Points Of Years","All",17
"2011","S01002248","Between Mid Points Of Years","All",12
"2011","S01002247","Between Mid Points Of Years","All",12
"2012","S01002230","Between Mid Points Of Years","All",14
"2012","S01002231","Between Mid Points Of Years","All",10
"2012","S01002232","Between Mid Points Of Years","All",17
"2009","S01002242","Calendar Year","All",14
"2012","S01002233","Between Mid Points Of Years","All",7
"2003","S01002236","Calendar Year","All",11
"2012","S01002234","Between Mid Points Of Years","All",12
"2012","S01002235","Between Mid Points Of Years","All",17
"2012","S01002236","Between Mid Points Of Years","All",18
"2012","S01002237","Between Mid Points Of Years","All",21
"2012","S01002238","Between Mid Points Of Years","All",9
"2011","S01002242","Calendar Year","All",13
"2012","S01002239","Between Mid Points Of Years","All",25
"2003","S01002237","Calendar Year","All",14
"2012","S01002240","Between Mid Points Of Years","All",4
"2012","S01002231","Calendar Year","All",9
"2012","S01002241","Between Mid Points Of Years","All",15
"2012","S01002242","Between Mid Points Of Years","All",10
"2012","S01002243","Between Mid Points Of Years","All",13
"2012","S01002244","Between Mid Points Of Years","All",10
"2009","S01002241","Calendar Year","All",18
"2012","S01002245","Between Mid Points Of Years","All",27
"2003","S01002238","Calendar Year","All",3
"2012","S01002246","Between Mid Points Of Years","All",12
"2006","S01002237","Calendar Year","All",7
"2012","S01002247","Between Mid Points Of Years","All",8
"2012","S01002248","Between Mid Points Of Years","All",20
"2012","S01002249","Between Mid Points Of Years","All",14
"2013","S01002247","Between Mid Points Of Years","All",9
"2013","S01002248","Between Mid Points Of Years","All",15
"2003","S01002239","Calendar Year","All",24
"2013","S01002249","Between Mid Points Of Years","All",14
"2013","S01002244","Between Mid Points Of Years","All",16
"2013","S01002245","Between Mid Points Of Years","All",40
"2013","S01002246","Between Mid Points Of Years","All",9
"2009","S01002240","Calendar Year","All",8
"2003","S01002240","Calendar Year","All",8
"2013","S01002239","Between Mid Points Of Years","All",14
"2004","S01002249","Calendar Year","All",7
"2013","S01002238","Between Mid Points Of Years","All",9
"2012","S01002232","Calendar Year","All",8
"2013","S01002237","Between Mid Points Of Years","All",20
"2013","S01002236","Between Mid Points Of Years","All",17
"2013","S01002235","Between Mid Points Of Years","All",10
"2008","S01002231","Calendar Year","All",14
"2013","S01002234","Between Mid Points Of Years","All",15
"2003","S01002241","Calendar Year","All",9
"2013","S01002230","Between Mid Points Of Years","All",9
"2013","S01002231","Between Mid Points Of Years","All",10
"2013","S01002232","Between Mid Points Of Years","All",10
"2005","S01002243","Calendar Year","All",9
"2013","S01002233","Between Mid Points Of Years","All",12
"2013","S01002240","Between Mid Points Of Years","All",11
"2013","S01002241","Between Mid Points Of Years","All",24
"2009","S01002239","Calendar Year","All",17
"2013","S01002242","Between Mid Points Of Years","All",7
"2003","S01002242","Calendar Year","All",8
"2013","S01002243","Between Mid Points Of Years","All",7
"2003","S01002247","Between Mid Points Of Years","All",7
"2006","S01002236","Calendar Year","All",4
"2003","S01002248","Between Mid Points Of Years","All",16
"2003","S01002249","Between Mid Points Of Years","All",7
"2003","S01002230","Between Mid Points Of Years","All",8
"2003","S01002231","Between Mid Points Of Years","All",12
"2003","S01002232","Between Mid Points Of Years","All",3
"2003","S01002243","Calendar Year","All",12
"2003","S01002233","Between Mid Points Of Years","All",6
"2012","S01002233","Calendar Year","All",10
"2003","S01002234","Between Mid Points Of Years","All",4
"2003","S01002235","Between Mid Points Of Years","All",9
"2003","S01002236","Between Mid Points Of Years","All",6
"2003","S01002237","Between Mid Points Of Years","All",11
"2009","S01002238","Calendar Year","All",10
"2003","S01002238","Between Mid Points Of Years","All",5
"2003","S01002244","Calendar Year","All",6
"2003","S01002239","Between Mid Points Of Years","All",17
"2003","S01002240","Between Mid Points Of Years","All",10
"2007","S01002246","Calendar Year","All",8
"2003","S01002241","Between Mid Points Of Years","All",12
"2003","S01002242","Between Mid Points Of Years","All",8
"2003","S01002243","Between Mid Points Of Years","All",11
"2003","S01002244","Between Mid Points Of Years","All",4
"2003","S01002245","Calendar Year","All",10
"2003","S01002245","Between Mid Points Of Years","All",8
"2003","S01002246","Between Mid Points Of Years","All",7
"2006","S01002249","Calendar Year","All",11
"2004","S01002243","Calendar Year","All",9
"2002","S01002249","Between Mid Points Of Years","All",9
"2002","S01002248","Between Mid Points Of Years","All",16
"2009","S01002237","Calendar Year","All",21
"2002","S01002247","Between Mid Points Of Years","All",7
"2003","S01002246","Calendar Year","All",7
"2002","S01002246","Between Mid Points Of Years","All",3
"2006","S01002235","Calendar Year","All",7
"2002","S01002245","Between Mid Points Of Years","All",6
"2012","S01002234","Calendar Year","All",14
"2002","S01002244","Between Mid Points Of Years","All",9
"2002","S01002243","Between Mid Points Of Years","All",9
"2008","S01002232","Calendar Year","All",8
"2002","S01002242","Between Mid Points Of Years","All",5
"2002","S01002241","Between Mid Points Of Years","All",14
"2011","S01002241","Calendar Year","All",13
"2002","S01002240","Between Mid Points Of Years","All",10
"2002","S01002239","Between Mid Points Of Years","All",14
"2002","S01002238","Between Mid Points Of Years","All",12
"2002","S01002249","Calendar Year","All",8
"2002","S01002237","Between Mid Points Of Years","All",13
"2009","S01002236","Calendar Year","All",12
"2002","S01002236","Between Mid Points Of Years","All",8
"2002","S01002235","Between Mid Points Of Years","All",10
"2004","S01002236","Calendar Year","All",5
"2002","S01002234","Between Mid Points Of Years","All",4
"2002","S01002233","Between Mid Points Of Years","All",15
"2002","S01002232","Between Mid Points Of Years","All",4
"2002","S01002248","Calendar Year","All",18
"2002","S01002231","Between Mid Points Of Years","All",9
"2002","S01002230","Between Mid Points Of Years","All",5
"2012","S01002235","Calendar Year","All",16
"2005","S01002242","Calendar Year","All",5
"2002","S01002247","Calendar Year","All",7
"2009","S01002235","Calendar Year","All",5
"2006","S01002234","Calendar Year","All",5
"2007","S01002243","Calendar Year","All",10
"2002","S01002246","Calendar Year","All",4
"2002","S01002245","Calendar Year","All",5
"2009","S01002234","Calendar Year","All",7
"2012","S01002236","Calendar Year","All",20
"2014","S01002249","Between Mid Points Of Years","All",14
"2014","S01002248","Between Mid Points Of Years","All",19
"2002","S01002244","Calendar Year","All",7
"2014","S01002247","Between Mid Points Of Years","All",13
"2008","S01002233","Calendar Year","All",10
"2014","S01002246","Between Mid Points Of Years","All",14
"2014","S01002245","Between Mid Points Of Years","All",29
"2010","S01002233","Calendar Year","All",15
"2014","S01002244","Between Mid Points Of Years","All",11
"2005","S01002235","Calendar Year","All",9
"2002","S01002243","Calendar Year","All",9
"2009","S01002233","Calendar Year","All",10
"2006","S01002233","Calendar Year","All",12
"2002","S01002242","Calendar Year","All",5
"2011","S01002240","Calendar Year","All",6
"2012","S01002237","Calendar Year","All",18
"2005","S01002249","Calendar Year","All",10
"2002","S01002241","Calendar Year","All",14
"2009","S01002232","Calendar Year","All",6
"2002","S01002240","Calendar Year","All",9
"2006","S01002248","Calendar Year","All",15
"2005","S01002241","Calendar Year","All",12
"2002","S01002239","Calendar Year","All",11
"2009","S01002231","Calendar Year","All",9
"2006","S01002232","Calendar Year","All",4
"2012","S01002238","Calendar Year","All",15
"2002","S01002238","Calendar Year","All",12
"2008","S01002234","Calendar Year","All",10
"2005","S01002230","Calendar Year","All",13
"2002","S01002237","Calendar Year","All",12
"2009","S01002230","Calendar Year","All",16
"2002","S01002236","Calendar Year","All",4
"2007","S01002242","Calendar Year","All",8
"2012","S01002239","Calendar Year","All",19
"2004","S01002248","Calendar Year","All",9
"2002","S01002235","Calendar Year","All",9
"2009","S01002249","Calendar Year","All",7
"2006","S01002231","Calendar Year","All",7
"2007","S01002247","Calendar Year","All",7
"2002","S01002234","Calendar Year","All",4
"2002","S01002233","Calendar Year","All",12
"2009","S01002248","Calendar Year","All",10
"2004","S01002235","Calendar Year","All",10
"2012","S01002240","Calendar Year","All",8
"2002","S01002232","Calendar Year","All",6
"2008","S01002235","Calendar Year","All",11
"2011","S01002239","Calendar Year","All",20
"2005","S01002240","Calendar Year","All",10
"2002","S01002231","Calendar Year","All",10
"2009","S01002247","Calendar Year","All",10
"2006","S01002230","Calendar Year","All",6
"2002","S01002230","Calendar Year","All",6
"2001","S01002238","Calendar Year","All",7
"2012","S01002241","Calendar Year","All",20
"2001","S01002239","Calendar Year","All",16
"2010","S01002231","Calendar Year","All",13
"2001","S01002240","Calendar Year","All",9
"2010","S01002234","Calendar Year","All",9
"2001","S01002241","Calendar Year","All",16
"2006","S01002247","Calendar Year","All",5
"2012","S01002242","Calendar Year","All",8
"2001","S01002242","Calendar Year","All",7
"2008","S01002236","Calendar Year","All",17
"2007","S01002234","Calendar Year","All",9
"2001","S01002243","Calendar Year","All",5
"2010","S01002235","Calendar Year","All",11
"2001","S01002244","Calendar Year","All",10
"2011","S01002246","Calendar Year","All",14
"2011","S01002238","Calendar Year","All",4
"2001","S01002245","Calendar Year","All",12
"2012","S01002243","Calendar Year","All",11
"2001","S01002246","Calendar Year","All",8
"2010","S01002236","Calendar Year","All",10
"2001","S01002247","Calendar Year","All",7
"2004","S01002246","Calendar Year","All",10
"2001","S01002248","Calendar Year","All",11
"2004","S01002239","Calendar Year","All",13
"2007","S01002235","Calendar Year","All",9
"2001","S01002249","Calendar Year","All",7
"2012","S01002244","Calendar Year","All",11
"2010","S01002237","Calendar Year","All",20
"2005","S01002239","Calendar Year","All",14
"2001","S01002230","Calendar Year","All",5
"2008","S01002237","Calendar Year","All",20
"2001","S01002231","Calendar Year","All",10
"2001","S01002232","Calendar Year","All",3
"2012","S01002245","Calendar Year","All",35
"2010","S01002238","Calendar Year","All",9
"2001","S01002233","Calendar Year","All",10
"2005","S01002248","Calendar Year","All",16
"2007","S01002248","Calendar Year","All",13
"2001","S01002234","Calendar Year","All",5
"2007","S01002236","Calendar Year","All",11
"2001","S01002235","Calendar Year","All",7
"2010","S01002239","Calendar Year","All",15
"2004","S01002242","Calendar Year","All",10
"2001","S01002236","Calendar Year","All",9
"2006","S01002246","Calendar Year","All",5
"2012","S01002246","Calendar Year","All",8
"2008","S01002238","Calendar Year","All",13
"2001","S01002237","Calendar Year","All",15
"2011","S01002237","Calendar Year","All",21
"2010","S01002240","Calendar Year","All",14
"2004","S01002234","Calendar Year","All",5
"2007","S01002237","Calendar Year","All",11
"2010","S01002241","Calendar Year","All",12
"2005","S01002238","Calendar Year","All",10
"2012","S01002247","Calendar Year","All",7
"2010","S01002242","Calendar Year","All",3
"2007","S01002238","Calendar Year","All",6
"2010","S01002243","Calendar Year","All",5
"2010","S01002244","Calendar Year","All",17
"2012","S01002248","Calendar Year","All",20
"2007","S01002239","Calendar Year","All",15
"2010","S01002245","Calendar Year","All",30
"2005","S01002237","Calendar Year","All",8
"2008","S01002239","Calendar Year","All",14
"2010","S01002246","Calendar Year","All",9
"2007","S01002240","Calendar Year","All",9
"2010","S01002247","Calendar Year","All",14
"2011","S01002236","Calendar Year","All",16
"2012","S01002249","Calendar Year","All",12
"2010","S01002248","Calendar Year","All",14
"2004","S01002233","Calendar Year","All",8
"2007","S01002241","Calendar Year","All",12
"2010","S01002249","Calendar Year","All",18
"2005","S01002236","Calendar Year","All",7
"2006","S01002245","Calendar Year","All",13
"2014","S01002243","Between Mid Points Of Years","All",12
"2014","S01002242","Between Mid Points Of Years","All",8
"2008","S01002240","Calendar Year","All",8
"2014","S01002241","Between Mid Points Of Years","All",17
"2013","S01002247","Calendar Year","All",9
"2014","S01002240","Between Mid Points Of Years","All",8
"2014","S01002239","Between Mid Points Of Years","All",14
"2005","S01002231","Calendar Year","All",6
"2014","S01002238","Between Mid Points Of Years","All",11
"2007","S01002244","Calendar Year","All",10
"2014","S01002237","Between Mid Points Of Years","All",22
"2014","S01002236","Between Mid Points Of Years","All",12
"2014","S01002235","Between Mid Points Of Years","All",11
"2013","S01002248","Calendar Year","All",15
"2014","S01002234","Between Mid Points Of Years","All",8
"2014","S01002233","Between Mid Points Of Years","All",12
"2007","S01002249","Calendar Year","All",7
"2014","S01002232","Between Mid Points Of Years","All",14
"2004","S01002247","Calendar Year","All",6
"2014","S01002231","Between Mid Points Of Years","All",16
"2014","S01002230","Between Mid Points Of Years","All",19
"2008","S01002241","Calendar Year","All",11
"2004","S01002249","Between Mid Points Of Years","All",3
"2013","S01002249","Calendar Year","All",10
"2004","S01002248","Between Mid Points Of Years","All",11
"2011","S01002235","Calendar Year","All",9
"2004","S01002247","Between Mid Points Of Years","All",7
"2004","S01002231","Calendar Year","All",5
"2004","S01002246","Between Mid Points Of Years","All",8
"2004","S01002245","Between Mid Points Of Years","All",9
"2004","S01002244","Between Mid Points Of Years","All",10
"2005","S01002247","Calendar Year","All",11
"2004","S01002243","Between Mid Points Of Years","All",12
"2011","S01002245","Calendar Year","All",31
"2004","S01002242","Between Mid Points Of Years","All",8
"2004","S01002241","Between Mid Points Of Years","All",9
"2004","S01002240","Between Mid Points Of Years","All",11
"2006","S01002244","Calendar Year","All",9
"2004","S01002239","Between Mid Points Of Years","All",15
"2013","S01002244","Calendar Year","All",16
"2004","S01002238","Between Mid Points Of Years","All",9
"2008","S01002242","Calendar Year","All",11
"2004","S01002237","Between Mid Points Of Years","All",16
"2004","S01002241","Calendar Year","All",11
"2004","S01002236","Between Mid Points Of Years","All",11
"2004","S01002235","Between Mid Points Of Years","All",8
"2004","S01002234","Between Mid Points Of Years","All",8
"2011","S01002234","Calendar Year","All",7
"2004","S01002233","Between Mid Points Of Years","All",10
"2013","S01002245","Calendar Year","All",35
"2004","S01002232","Between Mid Points Of Years","All",8
"2004","S01002231","Between Mid Points Of Years","All",3
"2004","S01002230","Between Mid Points Of Years","All",10
"2005","S01002249","Between Mid Points Of Years","All",9
"2005","S01002248","Between Mid Points Of Years","All",13
"2005","S01002247","Between Mid Points Of Years","All",11
"2013","S01002246","Calendar Year","All",12
"2005","S01002246","Between Mid Points Of Years","All",11
"2008","S01002243","Calendar Year","All",8
"2005","S01002245","Between Mid Points Of Years","All",17
"2005","S01002244","Between Mid Points Of Years","All",5
"2010","S01002230","Calendar Year","All",12
"2005","S01002243","Between Mid Points Of Years","All",4
"2005","S01002242","Between Mid Points Of Years","All",10
"2005","S01002241","Between Mid Points Of Years","All",13
"2004","S01002244","Calendar Year","All",8
"2005","S01002240","Between Mid Points Of Years","All",9
"2007","S01002230","Calendar Year","All",11
"2005","S01002239","Between Mid Points Of Years","All",17
"2005","S01002238","Between Mid Points Of Years","All",4
"2013","S01002239","Calendar Year","All",12
"2005","S01002237","Between Mid Points Of Years","All",9
"2006","S01002243","Calendar Year","All",7
"2005","S01002236","Between Mid Points Of Years","All",4
"2005","S01002235","Between Mid Points Of Years","All",10
"2008","S01002244","Calendar Year","All",10
"2005","S01002234","Between Mid Points Of Years","All",5
"2011","S01002233","Calendar Year","All",10
"2005","S01002230","Between Mid Points Of Years","All",13
"2005","S01002231","Between Mid Points Of Years","All",6
"2013","S01002238","Calendar Year","All",5
"2005","S01002232","Between Mid Points Of Years","All",5
"2005","S01002233","Between Mid Points Of Years","All",6
"2006","S01002249","Between Mid Points Of Years","All",12
"2006","S01002248","Between Mid Points Of Years","All",15
"2006","S01002247","Between Mid Points Of Years","All",4
"2006","S01002246","Between Mid Points Of Years","All",5
"2013","S01002237","Calendar Year","All",24
"2006","S01002245","Between Mid Points Of Years","All",16
"2004","S01002238","Calendar Year","All",7
"2006","S01002244","Between Mid Points Of Years","All",8
"2006","S01002243","Between Mid Points Of Years","All",10
"2008","S01002245","Calendar Year","All",26
"2006","S01002242","Between Mid Points Of Years","All",2
"2011","S01002244","Calendar Year","All",11
"2006","S01002241","Between Mid Points Of Years","All",15
"2006","S01002240","Between Mid Points Of Years","All",12
"2013","S01002236","Calendar Year","All",12
"2006","S01002239","Between Mid Points Of Years","All",13
"2011","S01002232","Calendar Year","All",14
"2006","S01002238","Between Mid Points Of Years","All",10
"2006","S01002237","Between Mid Points Of Years","All",8
"2005","S01002246","Calendar Year","All",10
"2006","S01002236","Between Mid Points Of Years","All",7
"2006","S01002235","Between Mid Points Of Years","All",8
"2006","S01002234","Between Mid Points Of Years","All",7
"2013","S01002235","Calendar Year","All",11
"2006","S01002233","Between Mid Points Of Years","All",10
"2006","S01002242","Calendar Year","All",3
"2006","S01002232","Between Mid Points Of Years","All",8
"2006","S01002231","Between Mid Points Of Years","All",6
"2008","S01002246","Calendar Year","All",10
"2006","S01002230","Between Mid Points Of Years","All",8
"2007","S01002234","Between Mid Points Of Years","All",6
"2005","S01002232","Calendar Year","All",10
"2007","S01002235","Between Mid Points Of Years","All",8
"2013","S01002234","Calendar Year","All",15
"2007","S01002236","Between Mid Points Of Years","All",5
"2007","S01002237","Between Mid Points Of Years","All",10
"2007","S01002238","Between Mid Points Of Years","All",8
"2007","S01002239","Between Mid Points Of Years","All",15
"2007","S01002231","Calendar Year","All",15
"2007","S01002240","Between Mid Points Of Years","All",11
"2013","S01002230","Calendar Year","All",10
"2007","S01002241","Between Mid Points Of Years","All",10
"2007","S01002242","Between Mid Points Of Years","All",6
"2011","S01002231","Calendar Year","All",16
"2007","S01002243","Between Mid Points Of Years","All",7
"2007","S01002244","Between Mid Points Of Years","All",11
"2007","S01002245","Between Mid Points Of Years","All",23
"2008","S01002247","Calendar Year","All",10
"2007","S01002246","Between Mid Points Of Years","All",8
"2013","S01002231","Calendar Year","All",11
"2007","S01002247","Between Mid Points Of Years","All",8
"2004","S01002245","Calendar Year","All",13
"2007","S01002248","Between Mid Points Of Years","All",17
"2007","S01002249","Between Mid Points Of Years","All",5
"2007","S01002230","Between Mid Points Of Years","All",13
"2007","S01002231","Between Mid Points Of Years","All",10
"2007","S01002232","Between Mid Points Of Years","All",10
"2013","S01002232","Calendar Year","All",17
"2007","S01002233","Between Mid Points Of Years","All",11
"2014","S01002249","Between Mid Points Of Years","Male",6
"2013","S01002238","Calendar Year","Male",4
"2014","S01002239","Between Mid Points Of Years","Male",4
"2014","S01002248","Between Mid Points Of Years","Male",10
"2009","S01002233","Calendar Year","Male",4
"2011","S01002235","Calendar Year","Male",5
"2014","S01002247","Between Mid Points Of Years","Male",6
"2007","S01002247","Between Mid Points Of Years","Male",5
"2014","S01002238","Between Mid Points Of Years","Male",4
"2014","S01002246","Between Mid Points Of Years","Male",7
"2005","S01002234","Between Mid Points Of Years","Male",2
"2007","S01002232","Between Mid Points Of Years","Male",5
"2014","S01002245","Between Mid Points Of Years","Male",16
"2002","S01002243","Calendar Year","Male",5
"2014","S01002237","Between Mid Points Of Years","Male",15
"2014","S01002244","Between Mid Points Of Years","Male",7
"2006","S01002231","Between Mid Points Of Years","Male",3
"2005","S01002233","Between Mid Points Of Years","Male",4
"2014","S01002243","Between Mid Points Of Years","Male",5
"2014","S01002236","Between Mid Points Of Years","Male",8
"2004","S01002235","Calendar Year","Male",4
"2008","S01002247","Calendar Year","Male",5
"2008","S01002230","Between Mid Points Of Years","Male",2
"2013","S01002247","Calendar Year","Male",4
"2013","S01002234","Calendar Year","Male",8
"2008","S01002231","Between Mid Points Of Years","Male",6
"2002","S01002242","Calendar Year","Male",2
"2014","S01002235","Between Mid Points Of Years","Male",4
"2008","S01002232","Between Mid Points Of Years","Male",5
"2012","S01002236","Calendar Year","Male",11
"2013","S01002232","Calendar Year","Male",8
"2008","S01002233","Between Mid Points Of Years","Male",4
"2009","S01002232","Calendar Year","Male",2
"2006","S01002244","Calendar Year","Male",4
"2008","S01002234","Between Mid Points Of Years","Male",5
"2007","S01002242","Between Mid Points Of Years","Male",3
"2002","S01002241","Calendar Year","Male",7
"2008","S01002235","Between Mid Points Of Years","Male",6
"2014","S01002234","Between Mid Points Of Years","Male",4
"2005","S01002231","Calendar Year","Male",4
"2008","S01002236","Between Mid Points Of Years","Male",7
"2006","S01002232","Calendar Year","Male",0
"2005","S01002230","Between Mid Points Of Years","Male",8
"2008","S01002237","Between Mid Points Of Years","Male",8
"2014","S01002233","Between Mid Points Of Years","Male",6
"2002","S01002240","Calendar Year","Male",5
"2008","S01002238","Between Mid Points Of Years","Male",4
"2004","S01002242","Calendar Year","Male",3
"2007","S01002231","Calendar Year","Male",6
"2008","S01002239","Between Mid Points Of Years","Male",7
"2007","S01002246","Calendar Year","Male",4
"2006","S01002240","Calendar Year","Male",8
"2008","S01002240","Between Mid Points Of Years","Male",9
"2009","S01002231","Calendar Year","Male",3
"2013","S01002240","Calendar Year","Male",7
"2008","S01002241","Between Mid Points Of Years","Male",0
"2008","S01002240","Calendar Year","Male",7
"2008","S01002248","Calendar Year","Male",6
"2008","S01002242","Between Mid Points Of Years","Male",5
"2008","S01002233","Calendar Year","Male",6
"2002","S01002239","Calendar Year","Male",6
"2008","S01002243","Between Mid Points Of Years","Male",8
"2012","S01002237","Calendar Year","Male",7
"2004","S01002243","Calendar Year","Male",3
"2008","S01002244","Between Mid Points Of Years","Male",3
"2006","S01002230","Between Mid Points Of Years","Male",3
"2011","S01002249","Calendar Year","Male",9
"2008","S01002245","Between Mid Points Of Years","Male",11
"2014","S01002232","Between Mid Points Of Years","Male",6
"2011","S01002230","Calendar Year","Male",7
"2008","S01002246","Between Mid Points Of Years","Male",7
"2005","S01002231","Between Mid Points Of Years","Male",4
"2013","S01002241","Calendar Year","Male",15
"2008","S01002247","Between Mid Points Of Years","Male",5
"2002","S01002238","Calendar Year","Male",6
"2014","S01002231","Between Mid Points Of Years","Male",7
"2008","S01002248","Between Mid Points Of Years","Male",3
"2005","S01002245","Calendar Year","Male",8
"2009","S01002230","Calendar Year","Male",4
"2008","S01002249","Between Mid Points Of Years","Male",7
"2011","S01002232","Calendar Year","Male",7
"2014","S01002230","Between Mid Points Of Years","Male",11
"2009","S01002245","Between Mid Points Of Years","Male",11
"2002","S01002237","Calendar Year","Male",7
"2011","S01002239","Calendar Year","Male",6
"2009","S01002244","Between Mid Points Of Years","Male",8
"2013","S01002248","Calendar Year","Male",7
"2006","S01002231","Calendar Year","Male",2
"2009","S01002243","Between Mid Points Of Years","Male",5
"2013","S01002242","Calendar Year","Male",5
"2005","S01002232","Between Mid Points Of Years","Male",2
"2009","S01002242","Between Mid Points Of Years","Male",9
"2008","S01002249","Calendar Year","Male",3
"2004","S01002249","Between Mid Points Of Years","Male",1
"2009","S01002241","Between Mid Points Of Years","Male",11
"2002","S01002236","Calendar Year","Male",2
"2005","S01002240","Calendar Year","Male",3
"2009","S01002240","Between Mid Points Of Years","Male",5
"2012","S01002238","Calendar Year","Male",5
"2009","S01002249","Calendar Year","Male",4
"2009","S01002239","Between Mid Points Of Years","Male",8
"2003","S01002246","Calendar Year","Male",4
"2011","S01002231","Calendar Year","Male",6
"2009","S01002238","Between Mid Points Of Years","Male",6
"2006","S01002249","Between Mid Points Of Years","Male",6
"2002","S01002235","Calendar Year","Male",5
"2009","S01002237","Between Mid Points Of Years","Male",9
"2004","S01002248","Between Mid Points Of Years","Male",4
"2006","S01002247","Calendar Year","Male",2
"2009","S01002236","Between Mid Points Of Years","Male",9
"2005","S01002232","Calendar Year","Male",3
"2013","S01002237","Calendar Year","Male",15
"2009","S01002235","Between Mid Points Of Years","Male",4
"2011","S01002248","Calendar Year","Male",14
"2007","S01002233","Between Mid Points Of Years","Male",5
"2009","S01002234","Between Mid Points Of Years","Male",6
"2006","S01002239","Calendar Year","Male",7
"2004","S01002247","Between Mid Points Of Years","Male",4
"2009","S01002233","Between Mid Points Of Years","Male",5
"2003","S01002247","Calendar Year","Male",3
"2002","S01002234","Calendar Year","Male",3
"2009","S01002232","Between Mid Points Of Years","Male",4
"2006","S01002248","Between Mid Points Of Years","Male",14
"2006","S01002242","Calendar Year","Male",1
"2009","S01002231","Between Mid Points Of Years","Male",5
"2009","S01002248","Calendar Year","Male",4
"2004","S01002246","Between Mid Points Of Years","Male",4
"2009","S01002230","Between Mid Points Of Years","Male",5
"2005","S01002244","Calendar Year","Male",2
"2008","S01002234","Calendar Year","Male",6
"2009","S01002249","Between Mid Points Of Years","Male",1
"2002","S01002233","Calendar Year","Male",10
"2012","S01002239","Calendar Year","Male",13
"2009","S01002248","Between Mid Points Of Years","Male",7
"2009","S01002245","Calendar Year","Male",10
"2005","S01002248","Calendar Year","Male",10
"2009","S01002247","Between Mid Points Of Years","Male",3
"2003","S01002248","Calendar Year","Male",5
"2006","S01002230","Calendar Year","Male",4
"2009","S01002246","Between Mid Points Of Years","Male",7
"2011","S01002242","Calendar Year","Male",6
"2010","S01002233","Between Mid Points Of Years","Male",8
"2007","S01002243","Between Mid Points Of Years","Male",5
"2006","S01002247","Between Mid Points Of Years","Male",1
"2010","S01002234","Between Mid Points Of Years","Male",2
"2002","S01002232","Calendar Year","Male",4
"2004","S01002245","Between Mid Points Of Years","Male",4
"2010","S01002235","Between Mid Points Of Years","Male",4
"2011","S01002234","Calendar Year","Male",5
"2009","S01002247","Calendar Year","Male",5
"2010","S01002236","Between Mid Points Of Years","Male",8
"2005","S01002235","Calendar Year","Male",7
"2004","S01002246","Calendar Year","Male",4
"2010","S01002237","Between Mid Points Of Years","Male",13
"2004","S01002244","Between Mid Points Of Years","Male",4
"2003","S01002249","Calendar Year","Male",4
"2010","S01002238","Between Mid Points Of Years","Male",6
"2002","S01002231","Calendar Year","Male",7
"2013","S01002249","Calendar Year","Male",5
"2010","S01002239","Between Mid Points Of Years","Male",8
"2004","S01002240","Calendar Year","Male",6
"2007","S01002248","Between Mid Points Of Years","Male",8
"2010","S01002240","Between Mid Points Of Years","Male",4
"2004","S01002243","Between Mid Points Of Years","Male",6
"2006","S01002246","Between Mid Points Of Years","Male",2
"2010","S01002241","Between Mid Points Of Years","Male",5
"2002","S01002230","Calendar Year","Male",0
"2007","S01002232","Calendar Year","Male",8
"2010","S01002242","Between Mid Points Of Years","Male",4
"2008","S01002244","Calendar Year","Male",4
"2009","S01002244","Calendar Year","Male",7
"2010","S01002243","Between Mid Points Of Years","Male",3
"2012","S01002240","Calendar Year","Male",5
"2003","S01002230","Calendar Year","Male",6
"2010","S01002244","Between Mid Points Of Years","Male",5
"2009","S01002246","Calendar Year","Male",5
"2011","S01002247","Calendar Year","Male",5
"2010","S01002245","Between Mid Points Of Years","Male",10
"2004","S01002242","Between Mid Points Of Years","Male",2
"2007","S01002234","Between Mid Points Of Years","Male",3
"2010","S01002246","Between Mid Points Of Years","Male",5
"2011","S01002238","Calendar Year","Male",3
"2006","S01002245","Between Mid Points Of Years","Male",7
"2010","S01002247","Between Mid Points Of Years","Male",8
"2001","S01002238","Calendar Year","Male",4
"2007","S01002242","Calendar Year","Male",5
"2010","S01002248","Between Mid Points Of Years","Male",6
"2004","S01002249","Calendar Year","Male",4
"2006","S01002238","Calendar Year","Male",1
"2010","S01002249","Between Mid Points Of Years","Male",5
"2004","S01002241","Between Mid Points Of Years","Male",7
"2003","S01002231","Calendar Year","Male",2
"2010","S01002230","Between Mid Points Of Years","Male",5
"2008","S01002241","Calendar Year","Male",5
"2010","S01002233","Calendar Year","Male",9
"2010","S01002231","Between Mid Points Of Years","Male",6
"2001","S01002239","Calendar Year","Male",10
"2008","S01002235","Calendar Year","Male",7
"2010","S01002232","Between Mid Points Of Years","Male",4
"2013","S01002230","Calendar Year","Male",6
"2012","S01002241","Calendar Year","Male",10
"2004","S01002240","Between Mid Points Of Years","Male",4
"2011","S01002245","Between Mid Points Of Years","Male",19
"2001","S01002240","Calendar Year","Male",5
"2007","S01002233","Calendar Year","Male",5
"2011","S01002244","Between Mid Points Of Years","Male",9
"2009","S01002243","Calendar Year","Male",6
"2013","S01002243","Calendar Year","Male",5
"2011","S01002243","Between Mid Points Of Years","Male",1
"2003","S01002232","Calendar Year","Male",3
"2007","S01002244","Between Mid Points Of Years","Male",6
"2011","S01002242","Between Mid Points Of Years","Male",5
"2004","S01002239","Between Mid Points Of Years","Male",4
"2001","S01002241","Calendar Year","Male",8
